period, operator, operatorLabel, product, category, gridusagename, gridusage before discount (cts./kWh), gridusagediscount discount (cts./kWh), gridusage after discount (cts./kWh), hereof grid: fixcosts (CHF p.a.), hereof grid: power price (CHF p.a.), hereof grid: working price (cts./kWh), energyname, energy before discount (cts./kWh), energy discount (cts./kWh), energy after discount (cts./kWh), hereof energy: fixcosts (CHF p.a.), hereof energy: power price (CHF p.a.), hereof energy: working price (cts./kWh), charge (cts./kWh), aidfee (cts./kWh), total (cts./kWh), metering rate (cts./kWh), annual metering cost (CHF p.a.)
2017,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H1,EKZ  Netz 400,10.334,0.795,9.54,60,0,6.184,EKZ Mixstrom Privat,6.339,0.507,5.832,0,0,6.339,0.16,1.5,17.032,,
2017,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H8,EKZ  Netz 400,7.346,0.556,6.79,60,0,6.146,EKZ Mixstrom Privat,6.329,0.506,5.823,0,0,6.329,0.16,1.5,14.273,,
2017,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H4,EKZ  Netz 400,7.879,0.598,7.281,60,0,6.146,EKZ Mixstrom Privat,6.329,0.506,5.823,0,0,6.329,0.16,1.5,14.763,,
2017,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C1,EKZ  Netz 400,8.69,0.663,8.027,60,0,7.54,EKZ Mixstrom Gewerbe,6.695,0.536,6.16,0,0,6.695,0.16,1.5,15.846,,
2017,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C2,EKZ  Netz 400,8.058,0.613,7.445,60,0,7.458,EKZ Mixstrom Gewerbe,6.674,0.534,6.14,0,0,6.674,0.16,1.5,15.245,,
2017,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C4,EKZ Netz 400L,5.475,0.406,5.069,720,14400,2.051,EKZ Mixstrom Business,5.314,0.425,4.888,0,0,5.314,0.16,1.5,11.618,,
2017,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C3,EKZ Netz 400L,6.237,0.467,5.77,720,4800,2.157,EKZ Mixstrom Business,5.451,0.436,5.015,0,0,5.451,0.16,1.5,12.445,,
2017,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H6,EKZ  Netz 400,4.825,0.354,4.471,60,0,4.185,EKZ Mixstrom Privat,5.814,0.465,5.349,0,0,5.814,0.16,1.5,11.481,,
2017,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C7,EKZ Netz 16L,3.955,0.142,3.813,720,152568,1.511,EKZ Mixstrom Business,5.191,0.208,4.984,0,0,5.191,0.01,1.5,10.307,,
2017,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C5,EKZ Netz 16L,4.897,0.18,4.717,720,14040,1.545,EKZ Mixstrom Business,5.314,0.213,5.101,0,0,5.314,0.16,1.5,11.478,,
